n,t,Term
Giuseppe Ferri,generation current conveyor;standard CMOS technology;low voltage low power;V supply voltage;voltage gain;Theminimum experimental supply voltage;afull voltage swing;applied input differential voltage;differential voltage;external control voltage,"['gener', 'current', 'conveyor', 'standard', 'cmo', 'technolog', 'low', 'voltag', 'low', 'power', 'v', 'suppli', 'voltag', 'voltag', 'gain', 'theminimum', 'experiment', 'suppli', 'voltag', 'aful', 'voltag', 'swing', 'appli', 'input', 'differenti', 'voltag', 'differenti', 'voltag', 'extern', 'control', 'voltag']"
George-Othon Glentis,proposed algorithm;efficient algorithm;TD-LMS algorithm;squares algorithm;proposed method;2-D FAPA algorithm;2-D LMS algorithm;2-D RLS algorithm;FRLS algorithm;IAA algorithm,"['propos', 'algorithm', 'effici', 'algorithm', 'td-lm', 'algorithm', 'squar', 'algorithm', 'propos', 'method', '2-d', 'fapa', 'algorithm', '2-d', 'lm', 'algorithm', '2-d', 'rl', 'algorithm', 'frl', 'algorithm', 'iaa', 'algorithm']"
Ben Wegbreit,programming language;data type;scene model;inductive assertion;program performance;programming automation;programming languagesPrimitive operation;tape-bounded Turing acceptors;control structure;subgoal induction,"['program', 'languag', 'data', 'type', 'scene', 'model', 'induct', 'assert', 'program', 'perform', 'program', 'autom', 'program', 'languagesprimit', 'oper', 'tape-bound', 'ture', 'acceptor', 'control', 'structur', 'subgoal', 'induct']"
Massimo Tornatore,optical network;availability target;WDM network;mesh network;nationwide network;MLR network;access network;case-study network;network performance;telecom network,"['optic', 'network', 'avail', 'target', 'wdm', 'network', 'mesh', 'network', 'nationwid', 'network', 'mlr', 'network', 'access', 'network', 'case-studi', 'network', 'network', 'perform', 'telecom', 'network']"
Amin Shokrollahi,Raptor code;wiretap protocol;error probability;ripple size;invertible extractor;Raptor codesLT-codes;finite length Raptor code;universal Raptor code;erasure channel;entire encoding,"['raptor', 'code', 'wiretap', 'protocol', 'error', 'probabl', 'rippl', 'size', 'invert', 'extractor', 'raptor', 'codeslt-cod', 'finit', 'length', 'raptor', 'code', 'univers', 'raptor', 'code', 'erasur', 'channel', 'entir', 'encod']"
C Nadeu,feature selection;SAD system;Acoustic Event Detection;experimental result;acoustic event;acoustic feature;different information source;recognition rate;robust speech activity detection;speech recognition experiment,"['featur', 'select', 'sad', 'system', 'acoust', 'event', 'detect', 'experiment', 'result', 'acoust', 'event', 'acoust', 'featur', 'differ', 'inform', 'sourc', 'recognit', 'rate', 'robust', 'speech', 'activ', 'detect', 'speech', 'recognit', 'experi']"
Giuseppe Valetto,dynamic adaptation;case study;target system;coordination need;software development project;software system;coordination requirement;global software team;software development;software development organization,"['dynam', 'adapt', 'case', 'studi', 'target', 'system', 'coordin', 'need', 'softwar', 'develop', 'project', 'softwar', 'system', 'coordin', 'requir', 'global', 'softwar', 'team', 'softwar', 'develop', 'softwar', 'develop', 'organ']"
Cornelia Caragea,unlabeled data;data representation;data source;relational data source;relevant meta data;structured relational data;academic homepages;predictive model;Ontology-Extended Textual DataReal-world data;biological sequence data,"['unlabel', 'data', 'data', 'represent', 'data', 'sourc', 'relat', 'data', 'sourc', 'relev', 'meta', 'data', 'structur', 'relat', 'data', 'academ', 'homepag', 'predict', 'model', 'ontology-extend', 'textual', 'datareal-world', 'data', 'biolog', 'sequenc', 'data']"
Aimin Hao,proposed method;novel method;punishment force method;rendering method;Focus Context visualization method;Geomipmap method;MacComark method;computation method;conventional line extraction method;coupling method,"['propos', 'method', 'novel', 'method', 'punish', 'forc', 'method', 'render', 'method', 'focu', 'context', 'visual', 'method', 'geomipmap', 'method', 'maccomark', 'method', 'comput', 'method', 'convent', 'line', 'extract', 'method', 'coupl', 'method']"
László Böszörményi,video stream;video browsing tool;video data;arthroscopic video;single video;standard soft video player;video content;video motion;video player;video proxy cache,"['video', 'stream', 'video', 'brows', 'tool', 'video', 'data', 'arthroscop', 'video', 'singl', 'video', 'standard', 'soft', 'video', 'player', 'video', 'content', 'video', 'motion', 'video', 'player', 'video', 'proxi', 'cach']"
Michal Ptaszynski,conversational agent;evaluation experiment;proposed method;Multiagent system;baseline system;pun generator;novel method;affect analysis;conversational system;emotiveness analysis system,"['convers', 'agent', 'evalu', 'experi', 'propos', 'method', 'multiag', 'system', 'baselin', 'system', 'pun', 'gener', 'novel', 'method', 'affect', 'analysi', 'convers', 'system', 'emot', 'analysi', 'system']"
Muaz A. Niazi,agent-based model;Agent-based modeling;Agent-based computing;simulation model;complex network;complex system;agent-based forest fire simulation;agent-based simulation;agent-based simulation model;agent-based social simulation,"['agent-bas', 'model', 'agent-bas', 'model', 'agent-bas', 'comput', 'simul', 'model', 'complex', 'network', 'complex', 'system', 'agent-bas', 'forest', 'fire', 'simul', 'agent-bas', 'simul', 'agent-bas', 'simul', 'model', 'agent-bas', 'social', 'simul']"
Shashidhar G. Koolagudi,target speaker;speech signal;emotion recognition;emotion recognition performance;speech feature;Berlin emotion speech corpus;Synthesized speech;emotional speech;emotional speech corpus;Berlin emotion speech database,"['target', 'speaker', 'speech', 'signal', 'emot', 'recognit', 'emot', 'recognit', 'perform', 'speech', 'featur', 'berlin', 'emot', 'speech', 'corpu', 'synthes', 'speech', 'emot', 'speech', 'emot', 'speech', 'corpu', 'berlin', 'emot', 'speech', 'databas']"
J Glimm,numerical simulation;front tracking;numerical algorithm;error model;conservative front tracking algorithm;front tracking algorithm;three-dimensional front tracking algorithm;free surface flow;surface tension force;numerical result,"['numer', 'simul', 'front', 'track', 'numer', 'algorithm', 'error', 'model', 'conserv', 'front', 'track', 'algorithm', 'front', 'track', 'algorithm', 'three-dimension', 'front', 'track', 'algorithm', 'free', 'surfac', 'flow', 'surfac', 'tension', 'forc', 'numer', 'result']"
A. N. Birbas,coarse ADC;Digital Converter;D design alternative;alternative ADC design strategy;alternative design strategy;design assistance tool;design complexity;design representation;design style;entire design process,"['coars', 'adc', 'digit', 'convert', 'd', 'design', 'altern', 'altern', 'adc', 'design', 'strategi', 'altern', 'design', 'strategi', 'design', 'assist', 'tool', 'design', 'complex', 'design', 'represent', 'design', 'style', 'entir', 'design', 'process']"
Ittai Balaban,predicate abstraction;Ranking Abstraction;shape analysis;liveness property;abstraction computation;type constraint;ranking function;abstraction methodology;abstractionPredicate abstraction;augmented finitary abstraction,"['predic', 'abstract', 'rank', 'abstract', 'shape', 'analysi', 'live', 'properti', 'abstract', 'comput', 'type', 'constraint', 'rank', 'function', 'abstract', 'methodolog', 'abstractionpred', 'abstract', 'augment', 'finitari', 'abstract']"
Graciela Boente,robust estimator;robust estimate;robust procedure;regression parameter;robust Wald test;robust selector;robust test;Monte Carlo study;asymptotic variance;corresponding robust data-driven scale,"['robust', 'estim', 'robust', 'estim', 'robust', 'procedur', 'regress', 'paramet', 'robust', 'wald', 'test', 'robust', 'selector', 'robust', 'test', 'mont', 'carlo', 'studi', 'asymptot', 'varianc', 'correspond', 'robust', 'data-driven', 'scale']"
Clay Williams,technical debt;software development;software development project;software development governance;software development organization;software repository;time spectrum;case study;model-based testing;available software,"['technic', 'debt', 'softwar', 'develop', 'softwar', 'develop', 'project', 'softwar', 'develop', 'govern', 'softwar', 'develop', 'organ', 'softwar', 'repositori', 'time', 'spectrum', 'case', 'studi', 'model-bas', 'test', 'avail', 'softwar']"
An-Yeu Wu,IFFT processor;unified design framework;coding architecture;echo cancellers;computational complexity;ASIC design;VLSI design;VLSI design example;design framework;design index,"['ifft', 'processor', 'unifi', 'design', 'framework', 'code', 'architectur', 'echo', 'cancel', 'comput', 'complex', 'asic', 'design', 'vlsi', 'design', 'vlsi', 'design', 'exampl', 'design', 'framework', 'design', 'index']"
N. Bertrand,steady-state control problem;probabilistic system;infinite word;finite attractor;modal specification;component-based system;decision problem;probabilistic automaton;probabilistic channel system;probabilistic distribution,"['steady-st', 'control', 'problem', 'probabilist', 'system', 'infinit', 'word', 'finit', 'attractor', 'modal', 'specif', 'component-bas', 'system', 'decis', 'problem', 'probabilist', 'automaton', 'probabilist', 'channel', 'system', 'probabilist', 'distribut']"
A. Sárközy,k symbol;large family;binary sequence;pseudorandom sequence;large W;family complexity;sequences E;fixed small k;order k;large C,"['k', 'symbol', 'larg', 'famili', 'binari', 'sequenc', 'pseudorandom', 'sequenc', 'larg', 'w', 'famili', 'complex', 'sequenc', 'e', 'fix', 'small', 'k', 'order', 'k', 'larg', 'c']"
Qi Zuo,multi-port memory;L2 memory;N-port memory;hierarchical memory architecture;shared memory system;1-port memory bank;L1 memory;L1 memory portion;Multi-Port MemoryRational memory architecture;N-port L1 memory,"['multi-port', 'memori', 'l2', 'memori', 'n-port', 'memori', 'hierarch', 'memori', 'architectur', 'share', 'memori', 'system', '1-port', 'memori', 'bank', 'l1', 'memori', 'l1', 'memori', 'portion', 'multi-port', 'memoryr', 'memori', 'architectur', 'n-port', 'l1', 'memori']"
Amos Israel,space complexity;physical register;time complexity;important complexity criterion;optimal time;bounded protocol;protocols RingElect;simple protocols RingGuess;atomic register;dynamic system,"['space', 'complex', 'physic', 'regist', 'time', 'complex', 'import', 'complex', 'criterion', 'optim', 'time', 'bound', 'protocol', 'protocol', 'ringelect', 'simpl', 'protocol', 'ringguess', 'atom', 'regist', 'dynam', 'system']"
A. Del Bimbo,slave camera;master camera;image brightness;PTZ camera;PTZ camera network;Pan Tilt Zoom camera;automatic camera geometry estimation;camera network;camera self-localization;fixed camera,"['slave', 'camera', 'master', 'camera', 'imag', 'bright', 'ptz', 'camera', 'ptz', 'camera', 'network', 'pan', 'tilt', 'zoom', 'camera', 'automat', 'camera', 'geometri', 'estim', 'camera', 'network', 'camera', 'self-loc', 'fix', 'camera']"
Fernando Ferri,multimodal interaction;multimodal sentence;query approximation;Soft computing;geographical query;pictorial query language;geographic information system;temporal information;complex query;query formulation,"['multimod', 'interact', 'multimod', 'sentenc', 'queri', 'approxim', 'soft', 'comput', 'geograph', 'queri', 'pictori', 'queri', 'languag', 'geograph', 'inform', 'system', 'tempor', 'inform', 'complex', 'queri', 'queri', 'formul']"
David Loewenstern,service request;service provider;IT service;IT service management;Catalog-based service request;IT service management automation;IT service management process;IT service managementIT service;IT service request;collaborative service delivery model,"['servic', 'request', 'servic', 'provid', 'it', 'servic', 'it', 'servic', 'manag', 'catalog-bas', 'servic', 'request', 'it', 'servic', 'manag', 'autom', 'it', 'servic', 'manag', 'process', 'it', 'servic', 'managementit', 'servic', 'it', 'servic', 'request', 'collabor', 'servic', 'deliveri', 'model']"
Anders Drachen,digital game;game piracy;computer game;game industry;game title;commercial game development;digital game title;game developer;game genre;game production,"['digit', 'game', 'game', 'piraci', 'comput', 'game', 'game', 'industri', 'game', 'titl', 'commerci', 'game', 'develop', 'digit', 'game', 'titl', 'game', 'develop', 'game', 'genr', 'game', 'product']"
Marina Moscarini,summary data;query system;summary attribute;minimal invariant set;sensitive information;invariant set;confidential data;sensitive data;nonnegative-integral summary attribute;summary statistic,"['summari', 'data', 'queri', 'system', 'summari', 'attribut', 'minim', 'invari', 'set', 'sensit', 'inform', 'invari', 'set', 'confidenti', 'data', 'sensit', 'data', 'nonnegative-integr', 'summari', 'attribut', 'summari', 'statist']"
Stephen P. Harter,Online information retrieval;e-journal impact;impact factor;impact studyImpact;information science journalsVariations;information scienceSemantic relationship;electronic journal;prior electronic publication;retrieval effectivenessColinked descriptors;TechniquesComputer processing,"['onlin', 'inform', 'retriev', 'e-journ', 'impact', 'impact', 'factor', 'impact', 'studyimpact', 'inform', 'scienc', 'journalsvari', 'inform', 'sciencesemant', 'relationship', 'electron', 'journal', 'prior', 'electron', 'public', 'retriev', 'effectivenesscolink', 'descriptor', 'techniquescomput', 'process']"
H G Badr,network computer;circuit switching;communication protocol;network resource;wireless network;1024-node network;IP network;Linked network;SBN network computer;atm network,"['network', 'comput', 'circuit', 'switch', 'commun', 'protocol', 'network', 'resourc', 'wireless', 'network', '1024-node', 'network', 'ip', 'network', 'link', 'network', 'sbn', 'network', 'comput', 'atm', 'network']"
M. A. Shokrollahi,displacement rank;efficient algorithm;decoding algorithm;decoding problem;Reed-Solomon code;algebraic-geometric code;channel capacity;erasure channel;conventional decoding algorithm;efficient decoding,"['displac', 'rank', 'effici', 'algorithm', 'decod', 'algorithm', 'decod', 'problem', 'reed-solomon', 'code', 'algebraic-geometr', 'code', 'channel', 'capac', 'erasur', 'channel', 'convent', 'decod', 'algorithm', 'effici', 'decod']"
Nirmal Mukhi,web service;case health;Web services framework;business operation;Web services component;issuesThe Web services platform;secure web services communication;standard Web services middleware;business provenance management system;business rule,"['web', 'servic', 'case', 'health', 'web', 'servic', 'framework', 'busi', 'oper', 'web', 'servic', 'compon', 'issuesth', 'web', 'servic', 'platform', 'secur', 'web', 'servic', 'commun', 'standard', 'web', 'servic', 'middlewar', 'busi', 'proven', 'manag', 'system', 'busi', 'rule']"
Julia A. Schnabel,non-rigid registration algorithm;Non-rigid Registration;accurate registration;multi-modal registration;Non-rigid RegistrationNon-rigid registration;breast image registration;deformable multi-modal registration;deformable multi-modal registrationDeformable registration;deformable registration;different medical registration task,"['non-rigid', 'registr', 'algorithm', 'non-rigid', 'registr', 'accur', 'registr', 'multi-mod', 'registr', 'non-rigid', 'registrationnon-rigid', 'registr', 'breast', 'imag', 'registr', 'deform', 'multi-mod', 'registr', 'deform', 'multi-mod', 'registrationdeform', 'registr', 'deform', 'registr', 'differ', 'medic', 'registr', 'task']"
Roy Kalawsky,virtual environment;distance estimation;transverse distance;display size;Virtual Reality;inter-object distance estimation;lateral distance;virtual image;desktop display;mediated communication,"['virtual', 'environ', 'distanc', 'estim', 'transvers', 'distanc', 'display', 'size', 'virtual', 'realiti', 'inter-object', 'distanc', 'estim', 'later', 'distanc', 'virtual', 'imag', 'desktop', 'display', 'mediat', 'commun']"
W. W. Vasconcelos,multi-agent system;software agent;logic programming;ontological reasoning;proposed approach;agents act;agents interact;electronic institution;normative position;logic program,"['multi-ag', 'system', 'softwar', 'agent', 'logic', 'program', 'ontolog', 'reason', 'propos', 'approach', 'agent', 'act', 'agent', 'interact', 'electron', 'institut', 'norm', 'posit', 'logic', 'program']"
Alan E Gelfand,sensor network;spatial data;data collection;observed data;process model;model fitting;spatial random effect;available data;common data collection mechanism;continuous data collection,"['sensor', 'network', 'spatial', 'data', 'data', 'collect', 'observ', 'data', 'process', 'model', 'model', 'fit', 'spatial', 'random', 'effect', 'avail', 'data', 'common', 'data', 'collect', 'mechan', 'continu', 'data', 'collect']"
Alfred O. Hero,new method;estimation error;parameter estimation;em algorithm;covariance estimation;local dimension estimation;proposed method;channel estimation error;dimension estimation;joint estimation,"['new', 'method', 'estim', 'error', 'paramet', 'estim', 'em', 'algorithm', 'covari', 'estim', 'local', 'dimens', 'estim', 'propos', 'method', 'channel', 'estim', 'error', 'dimens', 'estim', 'joint', 'estim']"
Nuno Vasconcelos,image retrieval;discriminant saliency;natural image;semantic space;dynamic texture;retrieval system;semantic image representation;semantic representation;error image;image semantics,"['imag', 'retriev', 'discrimin', 'salienc', 'natur', 'imag', 'semant', 'space', 'dynam', 'textur', 'retriev', 'system', 'semant', 'imag', 'represent', 'semant', 'represent', 'error', 'imag', 'imag', 'semant']"
Peter Luksch,SEMPA resource manager;parallel application;scientific computing;parallel implementation;Sempa researcher;Sparse Matrix-Vector Multiplication;dynamic load balancing;parallel CPU implementation;parallel batch job;parallel computing,"['sempa', 'resourc', 'manag', 'parallel', 'applic', 'scientif', 'comput', 'parallel', 'implement', 'sempa', 'research', 'spars', 'matrix-vector', 'multipl', 'dynam', 'load', 'balanc', 'parallel', 'cpu', 'implement', 'parallel', 'batch', 'job', 'parallel', 'comput']"
S. B. Gelfand,cost function;classification tree;pruning problem;annealing algorithm;Pruning Algorithm;multicode channel;conditional outage;Bayesian cost;Bayesian pruning;classification treesCost complexity pruning,"['cost', 'function', 'classif', 'tree', 'prune', 'problem', 'anneal', 'algorithm', 'prune', 'algorithm', 'multicod', 'channel', 'condit', 'outag', 'bayesian', 'cost', 'bayesian', 'prune', 'classif', 'treescost', 'complex', 'prune']"
Huy T. Vo,visualization system;data structure;data exploration;data exploration process;data product;disparate data;scientific data;large-scale visualization;scientific visualization;VisTrails provenance data,"['visual', 'system', 'data', 'structur', 'data', 'explor', 'data', 'explor', 'process', 'data', 'product', 'dispar', 'data', 'scientif', 'data', 'large-scal', 'visual', 'scientif', 'visual', 'vistrail', 'proven', 'data']"
Natasha Gelfand,alignment algorithm;automatic HDR metering algorithm;novel data-driven algorithm;segmentation algorithm;video-rate viewfinder preview algorithm;dynamic range;offline image processing software;algorithm compute;basic algorithm;closest point algorithm,"['align', 'algorithm', 'automat', 'hdr', 'meter', 'algorithm', 'novel', 'data-driven', 'algorithm', 'segment', 'algorithm', 'video-r', 'viewfind', 'preview', 'algorithm', 'dynam', 'rang', 'offlin', 'imag', 'process', 'softwar', 'algorithm', 'comput', 'basic', 'algorithm', 'closest', 'point', 'algorithm']"
Siegfried J. Pöppl,fine tuning;LearningAlthough neural network;neural network;neural network application;medical classification;subsequent ANN;PROBEN1 benchmark collection;approximation problem;appealing property;real life,"['fine', 'tune', 'learningalthough', 'neural', 'network', 'neural', 'network', 'neural', 'network', 'applic', 'medic', 'classif', 'subsequ', 'ann', 'proben1', 'benchmark', 'collect', 'approxim', 'problem', 'appeal', 'properti', 'real', 'life']"
César Ferri,ensemble method;generalisation operator;threshold choice method;ROC curve;new method;data mining model;decision tree;data mining;comprehensible model;classification problem,"['ensembl', 'method', 'generalis', 'oper', 'threshold', 'choic', 'method', 'roc', 'curv', 'new', 'method', 'data', 'mine', 'model', 'decis', 'tree', 'data', 'mine', 'comprehens', 'model', 'classif', 'problem']"
Hugo Proenca,iris biometrics;iris image;iris obstruction;iris recognition system;normalized iris image;Iris Recognition;iris image databases;iris pigmentation;noisy iris image;At-a-DistanceThe iris,"['iri', 'biometr', 'iri', 'imag', 'iri', 'obstruct', 'iri', 'recognit', 'system', 'normal', 'iri', 'imag', 'iri', 'recognit', 'iri', 'imag', 'databas', 'iri', 'pigment', 'noisi', 'iri', 'imag', 'at-a-distanceth', 'iri']"
Stelvio Cimato,secret image;pixel expansion;original secret image;white pixel;reconstructed image;visual cryptography;visual cryptography scheme;secret pixel;threshold visual cryptography scheme;paper coupon,"['secret', 'imag', 'pixel', 'expans', 'origin', 'secret', 'imag', 'white', 'pixel', 'reconstruct', 'imag', 'visual', 'cryptographi', 'visual', 'cryptographi', 'scheme', 'secret', 'pixel', 'threshold', 'visual', 'cryptographi', 'scheme', 'paper', 'coupon']"
Vasco T. Vasconcelos,session type;type system;recursive type;linear pi calculus;asynchronous session typesSession type;binary session;higher-order session communication;liberal higher-order session communication;modular session type;original session,"['session', 'type', 'type', 'system', 'recurs', 'type', 'linear', 'pi', 'calculu', 'asynchron', 'session', 'typessess', 'type', 'binari', 'session', 'higher-ord', 'session', 'commun', 'liber', 'higher-ord', 'session', 'commun', 'modular', 'session', 'type', 'origin', 'session']"
Doron Peled,model checking;model measuring;concurrent system;model checking algorithm;partial order;LTL model checking;efficient model checking;explicit state model checking;inaccurate model;interleaving model,"['model', 'check', 'model', 'measur', 'concurr', 'system', 'model', 'check', 'algorithm', 'partial', 'order', 'ltl', 'model', 'check', 'effici', 'model', 'check', 'explicit', 'state', 'model', 'check', 'inaccur', 'model', 'interleav', 'model']"
Bernhard Rumpe,delta modeling;Software Engineering;software development;global software engineering;software development process;annotative variability modeling;defining modeling language;modeling community;modeling practice;object-oriented modeling language,"['delta', 'model', 'softwar', 'engin', 'softwar', 'develop', 'global', 'softwar', 'engin', 'softwar', 'develop', 'process', 'annot', 'variabl', 'model', 'defin', 'model', 'languag', 'model', 'commun', 'model', 'practic', 'object-ori', 'model', 'languag']"
Torbjörn Wigren,neuromuscular blockade;power increment;periodic signal;sine wave;Recursive prediction error identification;dynamic system;new method;AECID algorithm;EM type algorithm;NLMS algorithmPeriodic signal analysis,"['neuromuscular', 'blockad', 'power', 'increment', 'period', 'signal', 'sine', 'wave', 'recurs', 'predict', 'error', 'identif', 'dynam', 'system', 'new', 'method', 'aecid', 'algorithm', 'em', 'type', 'algorithm', 'nlm', 'algorithmperiod', 'signal', 'analysi']"
Christian Wimmer,Java HotSpot;machine code;Java virtual machine;Java HotSpot VM;just-in-time compiler;Java program;virtual machine;Java HotSpot server compiler;Java VM;Java VMs,"['java', 'hotspot', 'machin', 'code', 'java', 'virtual', 'machin', 'java', 'hotspot', 'vm', 'just-in-tim', 'compil', 'java', 'program', 'virtual', 'machin', 'java', 'hotspot', 'server', 'compil', 'java', 'vm', 'java', 'vm']"
Stefan Beyer,Membership Estimation;power consumption;constraint consistency;replication protocol;routing protocol;object system;partitionable system;group membership;different approach;DeDiSys system,"['membership', 'estim', 'power', 'consumpt', 'constraint', 'consist', 'replic', 'protocol', 'rout', 'protocol', 'object', 'system', 'partition', 'system', 'group', 'membership', 'differ', 'approach', 'dedisi', 'system']"
Jaroslav Koton,active element;proposed circuit;current mode;current follower transconductance amplifier;proposed VM APF;Z-copy current follower transconductance;adjustable current gain;current active element;current amplifier;current biasing scheme,"['activ', 'element', 'propos', 'circuit', 'current', 'mode', 'current', 'follow', 'transconduct', 'amplifi', 'propos', 'vm', 'apf', 'z-copi', 'current', 'follow', 'transconduct', 'adjust', 'current', 'gain', 'current', 'activ', 'element', 'current', 'amplifi', 'current', 'bias', 'scheme']"
P. B. Vasconcelos,integral operator;numerical result;parallel implementation;numerical approximation;numerical solution;integral equation;correction equation;Tau method;Banach space;radiative transfer equation,"['integr', 'oper', 'numer', 'result', 'parallel', 'implement', 'numer', 'approxim', 'numer', 'solut', 'integr', 'equat', 'correct', 'equat', 'tau', 'method', 'banach', 'space', 'radi', 'transfer', 'equat']"
Antoine Rauzy,transition system;heuristic analysis;Constraint Language;Constraint Language Toupie;Constraint LanguageIn;Constraint Logic Programming;safety analysis;simplifies analysis;Concurrent SystemsThe AltaRica formalism;ConstraintsThe AltaRica Formalism,"['transit', 'system', 'heurist', 'analysi', 'constraint', 'languag', 'constraint', 'languag', 'toupi', 'constraint', 'languagein', 'constraint', 'logic', 'program', 'safeti', 'analysi', 'simplifi', 'analysi', 'concurr', 'systemsth', 'altarica', 'formal', 'constraintsth', 'altarica', 'formal']"
Di Yang,data stream;density-based cluster;multiple query;real data stream;user study;object monitoring;complex pattern;neighbor-based pattern;neighbor-based pattern mining request;high input data rate,"['data', 'stream', 'density-bas', 'cluster', 'multipl', 'queri', 'real', 'data', 'stream', 'user', 'studi', 'object', 'monitor', 'complex', 'pattern', 'neighbor-bas', 'pattern', 'neighbor-bas', 'pattern', 'mine', 'request', 'high', 'input', 'data', 'rate']"
Maysam Yabandeh,snapshot isolation;local approach;multiple path;system behavior;system development;system implementation;transactional support;new approach;model checker;predictive model,"['snapshot', 'isol', 'local', 'approach', 'multipl', 'path', 'system', 'behavior', 'system', 'develop', 'system', 'implement', 'transact', 'support', 'new', 'approach', 'model', 'checker', 'predict', 'model']"
Jan Wloka,aspect-oriented program;program analysis;AOSD approach;AOSD technique;End-to-End AOSD TestbedAspect-Oriented Software;PhD student;crosscutting concern;development phase;entire development process;test execution,"['aspect-ori', 'program', 'program', 'analysi', 'aosd', 'approach', 'aosd', 'techniqu', 'end-to-end', 'aosd', 'testbedaspect-ori', 'softwar', 'phd', 'student', 'crosscut', 'concern', 'develop', 'phase', 'entir', 'develop', 'process', 'test', 'execut']"
Karl D. D. Willis,handheld projector;character interaction;mobile projector;ad-hoc multi-user interaction;interaction technique;unified interaction style;interactive device;handheld projectorsWe;pre-cinema handheld projector;physical object,"['handheld', 'projector', 'charact', 'interact', 'mobil', 'projector', 'ad-hoc', 'multi-us', 'interact', 'interact', 'techniqu', 'unifi', 'interact', 'style', 'interact', 'devic', 'handheld', 'projectorsw', 'pre-cinema', 'handheld', 'projector', 'physic', 'object']"
